,Blondes,Matures,Ladyboys,Threesomes,MILFs,Gaping,Public Nudity,Amateur,French,Foot Fetish,Black Gays,Handjobs,Gangbang,Hardcore,Italian,Midgets,Facials,Redheads,Czech,Hidden Cams,Fingering,Femdom,Sex Toys,Swedish,Nipples,Face Sitting,Vintage,Bisexuals,Swingers,Danish,Latin,Blowjobs,Pornstars,Men,Thai,Voyeur,Lingerie,Lesbians,Massage,Webcams,Chinese,Celebrities,Babysitters,Gothic,Hentai,Big Boobs,Cartoons,Turkish,Stockings,Indian,Tits,Brazilian,Bukkake,Korean,Close-ups,Grannies,Russian,Emo,Group Sex,Interracial,BBW,Strapon,Masturbation,Squirting,German,Shemales,Spanking,Showers,Cream Pie,Funny,Babes,Teens,Upskirts,Beach,Flashing,Hairy,POV,Arab,Latex,Softcore,British,Gays,Anal,Old+Young,Cumshots,Double Penetration,Brunettes,Cuckold,Japanese,Asian,BDSM,Black and Ebony
Asian,-0.92,-0.66,-1.00,-0.24,-0.48,-0.46,-0.22,-0.14,-0.75,-0.15,-1.00,-0.11,-0.21,0.19,-0.96,-0.65,-0.13,-0.90,-0.94,-0.01,-0.19,-0.60,-0.15,-0.96,1.08,-0.18,-0.62,-0.90,-0.72,-0.90,-0.86,0.11,0.26,-1.00,15.56,0.05,-0.54,0.21,3.28,-0.02,13.97,-0.34,-0.49,-0.84,-0.09,-0.15,-0.09,-0.81,-0.47,3.17,0.35,-0.94,1.30,18.15,0.01,-0.81,-0.92,-0.66,-0.08,0.23,-0.72,-0.56,-0.22,0.20,-0.94,-1.00,-0.31,-0.02,0.85,1.10,0.25,0.12,-0.02,-0.68,-0.50,0.40,-0.23,0.34,-0.55,0.07,-0.94,-1.00,-0.22,-0.60,-0.07,-0.34,-0.60,-0.55,15.74,-1.00,0.67,-0.67
Chinese,-0.92,-0.81,-1.00,-0.44,-0.61,-0.10,-0.06,0.61,-0.64,-0.36,-1.00,-0.45,-0.47,-0.40,1.04,-1.00,-0.63,-0.90,-1.00,0.52,-0.61,-0.72,-0.56,1.57,1.31,-0.68,-0.23,-1.00,-1.00,-1.00,-0.95,-0.22,-0.33,-1.00,0.85,-0.17,-0.90,-0.68,1.35,1.26,-1.00,0.47,-1.00,-1.00,-1.00,-0.82,-1.00,-1.00,-0.61,-0.32,-0.36,-0.80,-0.18,7.49,-0.13,-0.89,-0.88,-1.00,-0.39,0.17,-0.81,-0.63,0.08,-0.77,-0.88,-1.00,-0.74,-0.08,-0.85,1.49,-0.59,-0.30,0.14,-1.00,0.10,0.47,-0.70,-0.28,-1.00,0.77,-1.00,-1.00,-0.42,-0.79,-0.55,-0.92,-0.83,-1.00,2.09,13.97,-0.56,-0.76
Hidden Cams,-0.74,0.42,-1.00,-0.96,-0.20,-0.97,2.29,1.01,-0.33,-0.50,-1.00,-0.68,-0.93,-0.76,-0.51,-0.86,-0.94,-0.68,-0.82,-1.00,-0.27,-0.98,-0.80,0.37,-0.06,-0.82,-0.92,-0.89,0.28,-0.60,0.31,-0.75,-0.96,-1.00,-0.53,14.32,-0.24,-0.86,3.98,-0.22,0.52,-0.60,-0.38,-1.00,-1.00,-0.65,-0.91,2.31,-0.66,1.56,-0.34,-0.64,-0.97,3.86,-0.04,-0.19,0.58,-0.61,-0.94,-0.79,-0.01,-0.93,0.09,-0.90,-0.64,-1.00,-0.84,8.01,-0.80,-0.28,-0.68,-0.19,9.81,10.90,2.54,0.74,-0.76,0.21,-0.98,-0.74,-0.74,-1.00,-0.85,-0.61,-0.85,-0.97,-0.61,-0.68,0.24,-0.01,-0.92,-0.57
Amateur,-0.12,0.34,-1.00,-0.43,0.04,-0.39,0.77,-1.00,0.62,0.23,-1.00,0.55,-0.11,-0.03,0.08,-0.22,-0.09,-0.07,-0.02,1.01,0.43,-0.58,0.17,0.54,-0.03,-0.52,-0.83,-0.21,1.37,-0.07,0.72,0.53,-0.92,-1.00,0.52,0.91,-0.42,-0.39,-0.11,1.62,0.61,-0.68,-0.12,0.12,-0.94,-0.27,-0.83,2.21,-0.30,0.64,-0.34,0.58,-0.63,1.63,1.01,-0.24,0.61,0.86,-0.31,0.40,0.57,-0.39,0.73,0.34,0.59,-0.99,-0.07,0.38,0.49,0.22,-0.16,0.58,0.47,0.28,0.55,0.12,0.75,1.82,-0.54,-0.25,0.31,-1.00,-0.11,-0.29,0.18,-0.71,-0.11,1.62,-0.67,-0.14,-0.08,0.57
Japanese,-0.98,-0.26,-1.00,-0.16,-0.14,-0.69,0.09,-0.67,-0.98,-0.40,-1.00,0.36,-0.04,-0.25,-0.99,-1.00,-0.37,-0.98,-1.00,0.24,-0.41,0.03,0.01,-1.00,1.24,0.42,-0.76,-0.98,-0.80,-1.00,-0.99,-0.11,0.10,-1.00,-0.64,0.52,-0.80,1.61,7.05,-0.90,2.09,-0.82,-0.68,-0.93,2.70,-0.32,1.11,-1.00,-0.05,-0.84,0.30,-0.99,3.58,1.41,-0.43,-0.23,-0.99,-0.86,0.18,-0.72,-0.78,-0.55,-0.23,1.54,-0.95,-1.00,-0.26,-0.14,1.71,2.32,0.16,-0.12,-0.16,-0.83,-0.57,0.70,-0.67,-0.84,-0.53,0.15,-0.99,-1.00,-0.76,-0.18,-0.35,-0.66,-0.95,-0.88,-1.00,15.74,0.73,-0.94
Showers,-0.18,-0.20,-1.00,-0.83,-0.22,-0.94,-0.33,0.38,-0.38,-0.85,-1.00,-0.54,-0.85,-0.63,-0.12,-0.38,-0.68,0.07,-0.20,8.01,-0.03,-0.87,-0.19,-0.29,1.10,-0.91,-0.56,-0.45,-0.40,-0.71,-0.50,-0.67,-0.63,-1.00,-0.49,5.53,-0.68,0.52,0.38,0.04,-0.08,1.55,-1.00,-0.65,-0.76,0.34,-0.43,-0.32,-0.63,2.52,0.63,0.02,-0.62,0.65,0.03,-0.43,1.40,-0.57,-0.70,-0.82,0.51,-0.85,0.51,0.40,-0.15,-1.00,-0.93,-1.00,-0.69,0.48,0.15,0.38,-0.27,0.21,0.12,0.74,-0.75,-0.46,-0.29,1.22,-0.30,-1.00,-0.78,-0.51,-0.76,-0.93,0.05,-0.89,-0.14,-0.02,-0.79,-0.06
Voyeur,-0.69,-0.38,-1.00,-0.89,-0.26,-0.78,3.58,0.91,-0.01,0.37,-1.00,-0.70,-0.87,-0.87,0.04,-0.68,-0.93,-0.77,-0.89,14.32,-0.49,-0.82,-0.80,-0.27,-0.29,-0.55,-0.84,-0.76,-0.20,-0.55,0.07,-0.79,-0.90,-1.00,-0.50,-1.00,0.05,-0.84,0.36,0.40,-0.17,-0.52,-0.33,-0.70,-0.79,-0.59,-0.54,0.49,0.00,-0.03,-0.46,0.35,-0.91,0.53,0.13,-0.57,0.07,-0.52,-0.87,-0.87,-0.50,-0.95,-0.04,-0.79,-0.67,-1.00,-0.62,5.53,-0.82,-0.43,-0.50,-0.15,19.67,11.53,5.06,-0.07,-0.59,0.10,-0.87,-0.12,-0.56,-1.00,-0.86,-0.66,-0.86,-0.95,-0.74,-0.25,0.52,0.05,-0.85,-0.45
Celebrities,0.77,-0.73,-1.00,-0.55,0.52,-0.97,0.18,-0.68,0.21,-0.80,-1.00,-0.77,-0.87,-0.53,5.74,-0.08,-0.82,0.57,-0.41,-0.60,-0.74,-0.91,-0.86,0.75,2.32,-0.74,1.57,-0.81,-0.58,-0.57,-0.03,-0.69,1.82,-1.00,-0.33,-0.52,1.87,0.58,-0.57,-0.85,0.47,-1.00,-0.85,0.71,2.36,0.34,6.00,2.80,-0.74,1.19,3.06,-0.20,-0.93,0.39,-0.50,-0.95,-0.34,0.37,-0.61,-0.75,-0.96,-0.83,-0.65,-0.91,-0.32,-1.00,-0.58,1.55,-0.92,5.38,4.25,-0.48,0.01,1.43,0.75,-0.03,-0.79,-0.31,-0.19,27.60,1.17,-1.00,-0.85,-0.50,-0.74,-0.92,0.99,-0.69,-0.82,-0.34,-0.72,-0.22
Webcams,-0.33,-0.34,-1.00,-0.93,-0.56,-0.49,-0.62,1.62,-0.52,-0.48,-1.00,-0.74,-0.98,-0.79,0.25,-0.81,-0.90,-0.43,-0.77,-0.22,1.28,-0.82,0.72,0.01,0.71,-0.89,-0.98,-0.67,-0.71,-0.73,0.93,-0.72,-0.87,-1.00,0.07,0.40,-0.62,-0.52,-0.37,-1.00,1.26,-0.85,-0.48,0.48,-0.98,0.27,-0.94,2.78,-0.74,0.36,0.58,0.73,-0.93,0.09,-0.11,-0.27,0.82,1.08,-0.93,-0.89,0.23,-0.79,2.33,0.50,-0.44,-1.00,-0.77,0.04,-0.85,0.02,-0.03,1.14,-0.72,-0.79,2.45,-0.53,-0.83,0.59,-0.87,-0.14,-0.62,-1.00,-0.51,-0.88,-0.80,-0.86,-0.26,-0.85,-0.90,-0.02,-0.87,0.07
Hairy,-0.45,1.13,-1.00,-0.21,0.01,-0.35,-0.32,0.12,1.08,-0.73,-1.00,-0.69,-0.60,-0.24,1.31,1.32,-0.55,0.83,-0.61,0.74,0.05,-0.92,-0.18,-0.43,0.12,-0.66,7.75,-0.60,-0.58,6.59,0.11,-0.61,-0.15,-1.00,0.18,-0.07,-0.09,0.14,-0.46,-0.53,0.47,-0.03,-0.68,-0.63,-1.00,-0.15,-0.85,-0.24,-0.04,2.76,-0.16,-0.38,-0.88,0.07,0.69,1.70,-0.28,-0.71,-0.15,-0.47,0.49,-0.64,0.51,-0.15,0.37,-1.00,-0.87,0.74,0.72,0.25,-0.49,-0.25,-0.46,-0.41,-0.49,-1.00,-0.42,0.40,-0.75,0.60,-0.34,-1.00,-0.18,0.16,-0.43,-0.58,0.42,-0.82,0.70,0.40,-0.53,-0.33
Cream Pie,-0.05,-0.15,-1.00,0.15,0.17,1.59,-0.76,0.49,-0.70,-0.68,-1.00,-0.31,2.22,0.02,-0.76,0.00,-0.45,-0.06,-0.14,-0.80,-0.75,-0.74,-0.67,-0.77,-0.72,0.39,-0.69,0.40,0.86,-0.43,-0.30,-0.17,-0.46,-0.93,0.05,-0.82,-0.39,-0.95,-0.60,-0.85,-0.85,-0.92,-0.61,-0.66,3.03,-0.36,0.23,-0.74,-0.56,-0.31,-0.61,-0.47,0.25,-0.32,1.39,-0.28,-0.41,-0.79,-0.15,2.36,0.16,-0.90,-0.80,0.12,-0.35,-0.89,-0.86,-0.69,-1.00,-0.76,-0.30,-0.10,-0.94,-0.87,-0.96,0.72,0.63,-0.78,-0.85,-0.94,-0.51,-0.99,1.12,-0.26,0.63,1.01,0.01,6.47,1.71,0.85,-0.77,0.46
Thai,-0.91,-0.75,-1.00,-0.43,-0.74,-0.83,-0.69,0.52,-0.73,-0.60,-1.00,-0.36,-0.76,-0.14,-1.00,-1.00,-0.09,-0.93,-1.00,-0.53,-0.47,-0.79,-0.37,-1.00,-0.38,-1.00,-0.39,-0.37,-0.47,0.57,-0.81,0.06,-0.39,-1.00,-1.00,-0.50,-0.69,-0.43,1.91,0.07,0.85,-0.33,-1.00,-0.07,-1.00,-0.72,-1.00,-0.39,-0.79,-0.83,-0.43,-0.70,0.02,-0.37,-0.18,-0.92,-0.91,-1.00,-0.36,-0.19,-0.92,-0.86,-0.55,1.04,-0.59,-1.00,-0.43,-0.49,0.05,-0.34,-0.53,0.11,-0.87,-0.46,-0.73,0.18,-0.28,-0.64,-0.58,-0.59,-0.84,-1.00,-0.20,-0.64,-0.15,-0.03,-0.40,-0.60,-0.64,15.56,-0.67,-0.27
Fingering,-0.01,-0.24,-1.00,-0.69,-0.38,1.74,-0.43,0.43,-0.33,-0.62,-1.00,-0.43,-0.84,-0.58,-0.53,-0.83,-0.91,-0.32,0.04,-0.27,-1.00,-0.53,1.72,-0.31,-0.06,-0.52,-0.78,-0.65,-0.67,-0.43,-0.39,-0.71,-0.64,-1.00,-0.47,-0.49,-0.06,2.84,1.02,1.28,-0.61,-0.74,-0.58,-0.13,-0.80,-0.53,-0.52,-0.71,0.16,-0.02,-0.47,-0.75,-0.89,-0.41,2.84,-0.11,-0.19,-0.28,-0.75,-0.87,-0.22,-0.14,3.90,2.65,-0.11,-1.00,-0.25,-0.03,-0.75,-0.52,0.26,0.08,-0.74,-0.53,0.14,0.05,-0.57,-0.50,-0.59,-0.57,0.21,-1.00,-0.29,-0.35,-0.81,-0.82,0.08,-0.85,-0.41,-0.19,-0.19,-0.30
Masturbation,0.08,0.14,-1.00,-0.92,-0.11,-0.08,0.32,0.73,-0.43,-0.18,-1.00,1.02,-0.95,-0.78,-0.04,-0.78,-0.83,0.25,-0.12,0.09,3.90,-0.34,3.74,0.27,-0.19,-0.79,-0.80,-0.46,-0.83,-0.33,-0.27,-0.53,-0.46,-1.00,-0.55,-0.04,0.51,-0.05,0.26,2.33,0.08,-0.65,-0.49,-0.16,-0.60,-0.18,-0.66,-0.47,0.26,-0.47,-0.35,-0.60,-0.81,-0.41,1.45,-0.27,-0.24,0.27,-0.91,-0.92,0.33,-0.78,-1.00,2.47,-0.25,-1.00,-0.73,0.51,-0.80,-0.33,0.16,0.57,-0.70,-0.55,0.58,0.51,-0.22,-0.46,-0.37,-0.23,0.13,-1.00,-0.67,-0.81,-0.59,-0.79,0.16,-0.90,-0.23,-0.22,-0.58,-0.36
Teens,0.40,-0.76,-1.00,0.04,-0.84,-0.13,0.10,0.58,-0.39,-0.41,-1.00,-0.20,-0.41,0.47,-0.61,-0.56,0.32,0.45,0.83,-0.19,0.08,-0.67,0.14,0.28,-0.37,-0.74,-0.60,-0.60,-0.65,0.64,0.11,0.18,-0.52,-1.00,0.11,-0.15,-0.32,0.60,0.49,1.14,-0.30,-0.48,3.82,0.20,-0.73,-0.52,-0.72,0.06,-0.69,-0.07,0.41,0.04,-0.56,-0.45,-0.41,-0.73,1.91,1.78,0.14,-0.47,-0.74,-0.68,0.57,-0.39,-0.06,-1.00,0.14,0.38,-0.10,0.01,0.52,-1.00,0.48,-0.07,-0.28,-0.25,0.32,-0.26,-0.73,-0.12,-0.58,-1.00,0.23,0.90,-0.05,-0.45,0.47,-0.79,-0.12,0.12,-0.53,-0.26
Massage,-0.34,-0.67,-1.00,-0.76,-0.54,-0.79,-0.67,-0.11,-0.29,0.48,-1.00,4.04,-0.83,-0.31,-0.29,-0.29,-0.88,-0.44,2.16,3.98,1.02,-0.53,-0.39,-0.60,1.24,-0.29,-0.62,-0.64,-1.00,-0.33,-0.52,-0.49,-0.50,-1.00,1.91,0.36,-0.01,2.62,-1.00,-0.37,1.35,-0.57,-1.00,-1.00,-0.72,0.29,-0.78,-0.74,-0.70,1.49,0.20,-0.81,-0.91,-0.47,0.31,-0.68,-0.35,3.13,-0.88,-0.63,-0.58,-0.43,0.26,0.91,-0.71,-1.00,-0.76,0.38,-0.60,-0.33,0.29,0.49,-0.89,-0.47,-0.40,-0.46,-0.65,-0.55,-0.91,1.48,-0.69,-1.00,-0.63,-0.53,-0.03,-0.90,-0.37,-0.62,7.05,3.28,-0.72,-0.49
Public Nudity,-0.28,-0.56,-1.00,-0.64,-0.60,-0.87,-1.00,0.77,0.21,-0.82,-1.00,0.17,-0.21,-0.37,-0.09,-0.58,-0.58,-0.33,1.82,2.29,-0.43,-0.85,-0.60,0.53,-0.28,-0.90,-0.55,-0.75,-0.07,-0.60,-0.47,-0.28,-0.51,-1.00,-0.69,3.58,-0.68,-0.50,-0.67,-0.62,-0.06,0.18,-1.00,-0.21,0.10,-0.47,-0.14,-0.51,-0.37,-0.26,0.04,-0.30,-0.54,-0.47,-0.64,-0.60,0.10,-0.52,0.32,-0.81,-0.63,-0.92,0.32,-0.61,0.39,-1.00,-0.65,-0.33,-0.76,2.97,-0.13,0.10,2.97,13.91,20.03,-0.32,-0.32,-0.38,-0.61,1.29,-0.29,-1.00,-0.67,-0.64,-0.48,-0.86,-0.49,-0.79,0.09,-0.22,-0.45,-0.52
POV,0.05,-0.63,-1.00,-0.69,0.19,-0.58,-0.32,0.75,-0.66,2.34,-1.00,1.05,-0.87,-0.24,-0.62,-0.40,0.68,0.18,3.19,-0.76,-0.57,2.63,-0.66,-0.66,-0.57,-0.10,-0.94,-0.82,-0.19,-0.91,0.28,1.32,0.49,-1.00,-0.28,-0.59,0.06,-0.87,-0.65,-0.83,-0.70,-0.79,-0.42,-0.22,0.02,-0.05,-0.76,-0.30,-0.21,-0.17,-0.39,-0.46,-0.68,-0.47,2.07,-0.88,-0.61,0.66,-0.72,-0.16,-0.22,-0.63,-0.22,-0.12,-0.60,-0.96,-0.66,-0.75,0.63,-0.62,-0.26,0.32,0.71,-0.81,-0.71,-0.42,-1.00,-0.74,-0.65,-0.23,0.06,-1.00,-0.23,-0.74,0.57,-0.93,0.11,-0.19,-0.67,-0.23,-0.68,0.24
Babes,0.93,-0.83,-1.00,-0.07,-0.53,-0.39,-0.13,-0.16,-0.48,-0.11,-1.00,-0.47,-0.68,0.93,-0.42,-0.60,-0.43,0.38,0.80,-0.68,0.26,-0.58,-0.10,0.18,0.14,-0.63,-0.39,-0.66,-0.25,-0.81,0.33,-0.30,0.78,-1.00,-0.53,-0.50,0.10,1.38,0.29,-0.03,-0.59,4.25,1.10,-0.16,0.96,0.39,0.52,-0.13,-0.14,0.09,0.13,0.03,-0.70,-0.49,-0.11,-0.99,-0.16,0.16,-0.23,-0.30,-0.69,-0.46,0.16,-0.19,-0.46,-1.00,-0.53,0.15,-0.30,0.29,-1.00,0.52,-0.39,0.37,-0.39,-0.49,-0.26,-0.14,0.01,4.22,0.04,-1.00,-0.00,-0.47,0.02,-0.60,1.04,-0.90,0.16,0.25,-0.37,-0.05
Blowjobs,0.63,-0.16,-1.00,0.03,0.01,-0.43,-0.28,0.53,-0.25,-0.51,-1.00,2.29,-0.29,0.23,-0.19,-0.28,2.36,0.39,-0.18,-0.75,-0.71,-0.80,-0.76,-0.19,-0.73,-0.19,-0.37,0.13,-0.40,-0.36,0.04,-1.00,0.01,-1.00,0.06,-0.79,0.04,-0.91,-0.49,-0.72,-0.22,-0.69,-0.11,0.53,0.24,-0.09,-0.10,-0.34,-0.64,0.16,0.06,-0.36,0.55,-0.50,-0.15,-0.44,-0.22,0.52,-0.16,0.34,-0.14,-0.86,-0.53,-0.73,-0.15,-0.94,-0.81,-0.67,-0.17,-0.37,-0.30,0.18,-0.94,-0.63,-0.89,-0.61,1.32,-0.17,-0.42,-0.95,-0.18,-0.98,-0.13,-0.51,2.17,-0.40,0.54,-0.63,-0.11,0.11,-0.56,0.44
Arab,-0.90,-0.27,-1.00,-0.53,-0.34,-1.00,-0.38,1.82,6.02,0.71,-1.00,-0.40,-0.05,-0.29,-0.28,-1.00,-0.55,-0.97,-0.58,0.21,-0.50,-0.81,-0.76,0.12,-0.09,-0.44,-0.73,-0.75,-0.17,-0.08,-0.56,-0.17,-0.73,-1.00,-0.64,0.10,-0.70,-0.53,-0.55,0.59,-0.28,-0.31,0.26,-1.00,-1.00,-0.01,-0.80,7.80,-0.86,3.92,0.02,-0.82,-0.76,-0.51,-0.30,-0.80,-0.75,-0.78,-0.67,-0.26,0.34,-0.84,-0.46,-0.73,-0.75,-0.64,-0.85,-0.46,-0.78,0.19,-0.14,-0.26,0.37,-0.16,0.30,0.40,-0.74,-1.00,-0.67,-0.49,-0.84,-1.00,0.84,-0.60,-0.58,-0.57,-0.17,-0.34,-0.84,0.34,-0.78,-0.71
Squirting,-0.22,-0.18,-1.00,-0.20,0.02,1.24,-0.61,0.34,-0.54,-0.69,-1.00,-0.65,-0.52,0.00,-0.41,0.54,-0.50,0.00,-0.60,-0.90,2.65,-0.62,2.44,0.06,-0.19,-0.37,-0.87,-0.41,-0.67,-0.71,-0.05,-0.73,0.25,-0.69,1.04,-0.79,-0.47,0.77,0.91,0.50,-0.77,-0.91,-1.00,-0.48,0.58,-0.47,0.23,-0.89,-0.46,-0.88,-0.64,-0.75,0.59,-0.53,1.48,-0.64,-0.73,-0.25,-0.43,-0.15,0.78,-0.42,2.47,-1.00,-0.50,-1.00,-0.30,0.40,0.12,-0.44,-0.19,-0.39,-0.82,-0.83,-0.65,-0.15,-0.12,-0.73,-0.49,-0.92,-0.11,-1.00,-0.09,-0.62,-0.42,-0.55,-0.27,-0.58,1.54,0.20,0.85,0.12
